codigo,descripcion_original,descripcion_borroni
>BHG2WH125044Z,"BULON HEXAGONAL G2 1/2-WHT-1,3/4 ZINC",
>BHG2WH125050Z,BULON HEXAGONAL G2 1/2-WHT-2 ZINC,
>BHG2WH125056Z,"BULON HEXAGONAL G2 1/2-WHT-2,1/4 ZINC",
>BHG2WH125063Z,"BULON HEXAGONAL G2 1/2-WHT-2,1/2 ZINC",
>BHG2WH125070Z,"BULON HEXAGONAL G2 1/2-WHT-2,3/4 ZINC",
>BHG2WH125076Z,BULON HEXAGONAL G2 1/2-WHT-3 ZINC,
>BHG2WH125082Z,"BULON HEXAGONAL G2 1/2-WHT-3,1/4 ZINC",
>BHG2WH125090Z,"BULON HEXAGONAL G2 1/2-WHT-3,1/2 ZINC",
>BHG2WH125100Z,BULON HEXAGONAL G2 1/2-WHT-4 ZINC,
>BHG2WH125110Z,"BULON HEXAGONAL G2 1/2-WHT-4,1/2 ZINC",
>BHG2WH125125Z,BULON HEXAGONAL G2 1/2-WHT-5 ZINC,
>BHG2WH125140Z,"BULON HEXAGONAL G2 1/2-WHT-5,1/2 ZINC",
>BHG2WH125155Z,BULON HEXAGONAL G2 1/2-WHT-6 ZINC,
>BHG2WH125175Z,BULON HEXAGONAL G2 1/2-WHT-7 ZINC,
>BHG2WH125200Z,BULON HEXAGONAL G2 1/2-WHT-8 ZINC,
>BHG2WH125210Z,"BULON HEXAGONAL G2 1/2-WHT-8,1/4 ZINC",
>BHG2WH125228Z,BULON HEXAGONAL G2 1/2-WHT-9 ZINC,
>BHG2WH125254Z,BULON HEXAGONAL G2 1/2-WHT-10 ZINC,
>BHG2NC140025Z,BULON HEXAGONAL G2 9/16-UNC-1 ZINC,
>BHG2NC140032Z,"BULON HEXAGONAL G2 9/16-UNC-1,1/4 ZINC",
>BHG2NC140038Z,"BULON HEXAGONAL G2 9/16-UNC-1,1/2 ZINC",
>BHG2NC140044Z,"BULON HEXAGONAL G2 9/16-UNC-1,3/4 ZINC",
>BHG2NC140050Z,BULON HEXAGONAL G2 9/16-UNC-2 ZINC,
>BHG2NC140056Z,"BULON HEXAGONAL G2 9/16-UNC-2,1/4 ZINC",
>BHG2NC140063Z,"BULON HEXAGONAL G2 9/16-UNC-2,1/2 ZINC",
>BHG2NC140070Z,"BULON HEXAGONAL G2 9/16-UNC-2,3/4 ZINC",
>BHG2NC140076Z,BULON HEXAGONAL G2 9/16-UNC-3 ZINC,
>BHG2NC140082Z,"BULON HEXAGONAL G2 9/16-UNC-3,1/4 ZINC",
>BHG2NC140090Z,"BULON HEXAGONAL G2 9/16-UNC-3,1/2 ZINC",
>BHG2NC140100Z,BULON HEXAGONAL G2 9/16-UNC-4 ZINC,
>BHG2NC140110Z,"BULON HEXAGONAL G2 9/16-UNC-4,1/2 ZINC",
>BHG2NC140125Z,BULON HEXAGONAL G2 9/16-UNC-5 ZINC,
>BHG2NC140140Z,"BULON HEXAGONAL G2 9/16-UNC-5,1/2 ZINC",
>BHG2NC140155Z,BULON HEXAGONAL G2 9/16-UNC-6 ZINC,
>BHG2NC140175Z,BULON HEXAGONAL G2 9/16-UNC-7 ZINC,
